Ticker,Date,Open,High,Low,Close,Volume
PAP,7/16/2021 00:00:00,14.1,14.1,14.1,14.1,100
PAP,7/20/2021 00:00:00,12,16.2,12,12,222900
PAP,7/21/2021 00:00:00,14.3,14.3,10.9,14.3,57100
PAP,7/23/2021 00:00:00,12.9,12.9,10.7,12.9,41100
PAP,7/26/2021 00:00:00,13.2,13.2,13,13.2,1100
PAP,7/27/2021 00:00:00,15,15,15,15,2600
PAP,7/28/2021 00:00:00,17.2,17.2,13.1,17.2,53900
PAP,8/2/2021 00:00:00,15.9,15.9,15.9,15.9,100
PAP,8/3/2021 00:00:00,18.2,18.2,18.2,18.2,10300
PAP,8/4/2021 00:00:00,20.9,20.9,16.2,20.9,61300
PAP,8/5/2021 00:00:00,19.8,19.8,14.8,19.8,42000
PAP,8/6/2021 00:00:00,13.6,18.2,13.6,18.2,42800
PAP,8/9/2021 00:00:00,12.8,17.2,12.8,17.2,125400
PAP,8/10/2021 00:00:00,15.7,15.7,15.7,15.7,100
PAP,8/11/2021 00:00:00,18,18,18,18,2000
PAP,8/12/2021 00:00:00,20.7,20.7,15.6,15.6,190900
PAP,8/13/2021 00:00:00,18.9,18.9,15.3,18.9,75700
PAP,8/16/2021 00:00:00,18.9,18.4,16.1,18.4,5100
PAP,8/17/2021 00:00:00,18.4,18.4,16.6,16.6,7200
PAP,8/18/2021 00:00:00,17,18,17,17,1500
PAP,8/19/2021 00:00:00,17,17.4,17,17.2,3600
PAP,8/20/2021 00:00:00,16.1,18.4,16.1,18.4,1600
PAP,8/23/2021 00:00:00,14.6,18,14.6,18,7000
PAP,8/24/2021 00:00:00,17,17,14.2,17,11500
PAP,8/25/2021 00:00:00,15.1,15.1,15.1,15.1,500
PAP,8/27/2021 00:00:00,15.1,15.1,14.4,14.6,1000
PAP,8/30/2021 00:00:00,16.6,16.6,14.3,14.3,8200
PAP,8/31/2021 00:00:00,16.6,16.6,16.6,16.6,300
PAP,9/1/2021 00:00:00,17.5,19,17.5,19,18300
PAP,9/6/2021 00:00:00,21.6,21.6,21.5,21.6,3600
PAP,9/9/2021 00:00:00,18.4,18.5,18.4,18.5,7300
PAP,9/10/2021 00:00:00,16.3,16.3,16.3,16.3,500
PAP,9/14/2021 00:00:00,18.7,18.7,18.7,18.7,700
PAP,9/16/2021 00:00:00,16.1,18.7,16.1,18.7,1200
PAP,9/17/2021 00:00:00,18.9,18.9,18.9,18.9,800
PAP,9/20/2021 00:00:00,18.9,18.9,18.9,18.9,1400
PAP,9/22/2021 00:00:00,16.3,16.3,16.3,16.3,1000
PAP,9/27/2021 00:00:00,16.9,16.9,16.9,16.9,100
PAP,9/28/2021 00:00:00,14.5,17.5,14.5,17.5,600
PAP,9/30/2021 00:00:00,12.9,17.2,12.9,17.2,1000
PAP,10/1/2021 00:00:00,16.6,16.6,16.6,16.6,100
PAP,10/4/2021 00:00:00,19,19,14.8,17,1200
PAP,10/5/2021 00:00:00,18,18.4,18,18.4,200
PAP,10/6/2021 00:00:00,18.2,18.2,18.2,18.2,200
PAP,10/8/2021 00:00:00,15.5,18.5,15.5,18.5,1800
PAP,10/11/2021 00:00:00,18.5,18.5,18.5,18.5,100
PAP,10/12/2021 00:00:00,19,19,16.5,16.5,1900
PAP,10/15/2021 00:00:00,18.5,18.9,18.5,18.9,500
PAP,10/20/2021 00:00:00,16,16.5,16,16.5,2200
PAP,10/22/2021 00:00:00,16.3,16.3,14.3,14.3,27000
PAP,10/25/2021 00:00:00,15,15,15,15,700
PAP,10/26/2021 00:00:00,16.5,16.5,16.5,16.5,500
PAP,10/27/2021 00:00:00,16.4,16.5,16.4,16.5,700
PAP,10/28/2021 00:00:00,16.7,17,16.6,17,500
PAP,10/29/2021 00:00:00,15.9,15.9,15.9,15.9,1500
PAP,11/1/2021 00:00:00,18,18,16.1,16.1,9500
PAP,11/2/2021 00:00:00,17.5,18.5,17.5,18.5,5900
PAP,11/3/2021 00:00:00,18.7,18.7,16.3,16.3,2900
PAP,11/4/2021 00:00:00,16.1,16.1,16.1,16.1,1500
PAP,11/9/2021 00:00:00,18,18,18,18,1300
PAP,11/10/2021 00:00:00,18,18,18,18,200
PAP,11/11/2021 00:00:00,18,18,18,18,1400
PAP,11/12/2021 00:00:00,18,18,18,18,600
PAP,11/15/2021 00:00:00,18.9,18.9,18.7,18.9,1600
PAP,11/17/2021 00:00:00,16.2,18,16.2,18,2100
PAP,11/18/2021 00:00:00,16.1,16.1,16.1,16.1,4000
